Vitória Novaes,1021,Junior,1,3.0,2.5,3.3,2.0,2.8,4.0,2.4,3.1,2.6,3.7,3.2
Fernando Matos,2001,Pleno,2,5.8,6.1,5.5,5.2,5.0,6.5,5.7,6.0,5.9,6.2,6.0
Artur Guimarães,3001,Senior,3,8.5,9.2,8.8,7.9,7.5,9.5,8.7,9.0,8.9,9.2,9.0
Daniel Souza,1004,Junior,1,1.8,2.1,3.0,1.5,2.0,3.4,2.8,1.9,2.6,3.1,2.5
Juliana Souza,2005,Pleno,2,6.0,6.3,5.5,5.8,5.3,5.7,6.2,5.6,6.1,5.4,6.4
Carlos Brito,3003,Senior,3,9.0,8.9,9.1,8.7,8.9,8.3,9.2,8.8,8.6,8.8,9.1
Felipe Gomes,1006,Junior,1,2.0,2.5,1.9,2.8,3.1,2.2,1.8,2.7,2.0,3.5,1.7
Mônica Costa,2007,Pleno,2,6.5,6.2,6.1,5.9,6.0,5.5,6.3,5.8,6.6,5.7,6.2
Eliana Dourado,3005,Senior,3,8.8,9.1,8.2,8.5,8.1,8.7,9.0,8.6,8.9,8.3,9.3
João Pereira,1010,Junior,1,2.3,1.8,2.0,3.5,1.5,2.8,1.9,3.0,2.2,1.7,2.6
Olívia Santos,2009,Pleno,2,5.7,5.9,5.6,5.4,5.6,5.2,5.8,5.3,5.7,5.6,5.8
Gisele Naves,3007,Senior,3,9.3,9.0,8.9,8.6,8.8,8.4,9.1,8.7,9.4,8.5,8.9
Marcelo Costa,1012,Junior,1,2.6,2.9,2.3,3.1,2.4,3.6,2.7,2.1,2.9,3.2,2.3
Úrsula Castro,2013,Pleno,2,6.3,6.0,6.4,5.6,6.1,5.8,6.0,5.9,6.5,5.9,6.3
Íris Zamboni,3009,Senior,3,8.3,8.7,8.5,8.2,8.5,7.9,8.6,8.0,8.4,8.3,8.6
Paula Fernandes,1015,Junior,1,3.9,3.6,3.2,3.0,2.7,2.8,3.8,3.1,3.5,2.9,3.7
Yasmin Correia,2017,Pleno,2,6.6,6.3,6.2,6.0,6.4,5.7,6.7,6.1,6.3,6.0,6.6
Natália Mendes,3013,Senior,3,9.4,9.1,9.2,8.9,9.3,8.6,9.5,9.0,9.6,8.8,9.3
Raquel Gonçalvez,1017,Junior,1,3.4,3.0,3.3,2.7,3.1,2.6,3.5,2.5,3.0,2.7,3.2
Cíntia Dantas,2021,Pleno,2,5.7,5.2,5.8,5.0,5.6,6.3,5.5,5.8,5.6,6.0,5.9
Patrícia Valente,3015,Senior,3,9.0,8.9,8.6,8.7,8.4,8.5,9.1,8.7,8.9,8.6,9.2
Ulysses Medeiros,1020,Junior,1,2.7,2.2,2.6,2.0,2.1,3.5,2.3,2.9,2.5,3.4,2.1
Elisa Freitas,2023,Pleno,2,6.0,5.9,6.1,5.5,5.7,5.2,6.2,5.9,5.4,5.6,6.0
Teresa Barcelos,3019,Senior,3,9.5,9.3,9.0,9.2,9.4,8.7,9.6,9.1,9.3,8.9,9.5
Wagner Reis,1022,Junior,1,2.1,3.2,2.0,3.5,2.6,1.8,3.4,1.9,3.0,2.3,2.8
Heloísa Igarashi,2025,Pleno,2,5.8,6.0,5.6,5.4,5.5,5.1,5.9,5.5,5.9,5.4,6.2
Renata Sales,3017,Senior,3,8.7,8.5,8.8,8.3,8.6,8.2,8.9,8.1,8.5,8.4,8.7
Yara Siqueira,1024,Junior,1,1.7,2.2,2.9,1.6,1.9,3.3,2.7,1.8,2.5,3.0,2.4
Laura Moraes,2029,Pleno,2,6.1,6.4,5.9,5.7,6.0,5.5,6.3,5.7,6.1,5.7,6.1
Ubiratan Pimenta,3020,Senior,3,8.1,7.8,8.0,7.3,7.5,8.6,7.7,8.2,7.9,8.7,7.4
Vitória Novaes,1021,Junior,1,3.0,2.5,3.3,2.0,2.8,4.0,2.4,3.1,2.6,3.7,3.2
Fernando Matos,2001,Pleno,2,5.8,6.1,5.5,5.2,5.0,6.5,5.7,6.0,5.9,6.2,6.0
Artur Guimarães,3001,Senior,3,8.5,9.2,8.8,7.9,7.5,9.5,8.7,9.0,8.9,9.2,9.0
Daniel Souza,1004,Junior,1,1.8,2.1,3.0,1.5,2.0,3.4,2.8,1.9,2.6,3.1,2.5
Juliana Souza,2005,Pleno,2,6.0,6.3,5.5,5.8,5.3,5.7,6.2,5.6,6.1,5.4,6.4
Carlos Brito,3003,Senior,3,9.0,8.9,9.1,8.7,8.9,8.3,9.2,8.8,8.6,8.8,9.1
Felipe Gomes,1006,Junior,1,2.0,2.5,1.9,2.8,3.1,2.2,1.8,2.7,2.0,3.5,1.7
Mônica Costa,2007,Pleno,2,6.5,6.2,6.1,5.9,6.0,5.5,6.3,5.8,6.6,5.7,6.2
Eliana Dourado,3005,Senior,3,8.8,9.1,8.2,8.5,8.1,8.7,9.0,8.6,8.9,8.3,9.3
João Pereira,1010,Junior,1,2.3,1.8,2.0,3.5,1.5,2.8,1.9,3.0,2.2,1.7,2.6
Olívia Santos,2009,Pleno,2,5.7,5.9,5.6,5.4,5.6,5.2,5.8,5.3,5.7,5.6,5.8
Gisele Naves,3007,Senior,3,9.3,9.0,8.9,8.6,8.8,8.4,9.1,8.7,9.4,8.5,8.9
Marcelo Costa,1012,Junior,1,2.6,2.9,2.3,3.1,2.4,3.6,2.7,2.1,2.9,3.2,2.3
Úrsula Castro,2013,Pleno,2,6.3,6.0,6.4,5.6,6.1,5.8,6.0,5.9,6.5,5.9,6.3
Íris Zamboni,3009,Senior,3,8.3,8.7,8.5,8.2,8.5,7.9,8.6,8.0,8.4,8.3,8.6
Paula Fernandes,1015,Junior,1,3.9,3.6,3.2,3.0,2.7,2.8,3.8,3.1,3.5,2.9,3.7
Yasmin Correia,2017,Pleno,2,6.6,6.3,6.2,6.0,6.4,5.7,6.7,6.1,6.3,6.0,6.6
Natália Mendes,3013,Senior,3,9.4,9.1,9.2,8.9,9.3,8.6,9.5,9.0,9.6,8.8,9.3
Raquel Gonçalvez,1017,Junior,1,3.4,3.0,3.3,2.7,3.1,2.6,3.5,2.5,3.0,2.7,3.2
Cíntia Dantas,2021,Pleno,2,5.7,5.2,5.8,5.0,5.6,6.3,5.5,5.8,5.6,6.0,5.9
Patrícia Valente,3015,Senior,3,9.0,8.9,8.6,8.7,8.4,8.5,9.1,8.7,8.9,8.6,9.2
Ulysses Medeiros,1020,Junior,1,2.7,2.2,2.6,2.0,2.1,3.5,2.3,2.9,2.5,3.4,2.1
Elisa Freitas,2023,Pleno,2,6.0,5.9,6.1,5.5,5.7,5.2,6.2,5.9,5.4,5.6,6.0
Teresa Barcelos,3019,Senior,3,9.5,9.3,9.0,9.2,9.4,8.7,9.6,9.1,9.3,8.9,9.5
Wagner Reis,1022,Junior,1,2.1,3.2,2.0,3.5,2.6,1.8,3.4,1.9,3.0,2.3,2.8
Heloísa Igarashi,2025,Pleno,2,5.8,6.0,5.6,5.4,5.5,5.1,5.9,5.5,5.9,5.4,6.2
Renata Sales,3017,Senior,3,8.7,8.5,8.8,8.3,8.6,8.2,8.9,8.1,8.5,8.4,8.7
Yara Siqueira,1024,Junior,1,1.7,2.2,2.9,1.6,1.9,3.3,2.7,1.8,2.5,3.0,2.4
Laura Moraes,2029,Pleno,2,6.1,6.4,5.9,5.7,6.0,5.5,6.3,5.7,6.1,5.7,6.1
Ubiratan Pimenta,3020,Senior,3,8.1,7.8,8.0,7.3,7.5,8.6,7.7,8.2,7.9,8.7,7.4
